ID da Pessoa,Categoria de Stakeholder,Nome Completo,Usuário Proprietário da Pessoa,Equipe Proprietária da Pessoa,Nível de Relacionamento,Data de Criação,Data da Última Atualização,Telefone Fixo,Celular,E-mail,Linkedin,Instagram,Endereço,Canal Preferido,Cargo,Departamento,Área,Equipe,Líder Direto,RG,CPF,Estado Civil,Profissão,Idade,Gênero,Data de Nascimento,Função de Compra,Função de Impacto,Função de Formalização,Função de Faturamento
7652,,Antônia Alves,Alexandre Bazzi,Vendas,Alto,19/04/2024,19/04/2024,+55 (11) 3000-2612,+55 (11) 98124-7596,antônia.alves@gmail.com,http://linkedin.com/in/antôniaalves,@antôniaalves,"Rua Tangará, 132",Telefone,Coordenador,Marketing,Desenvolvimento,Desenvolvimento,Gerente,304235259,456.789.123-64,Solteiro,Economista,47,Masculino,22/02/1980,Tomador de Decisão,Admin,Testemunha,Responsável pelo Financeiro
242,,Lucas Lima,Luiza Aduan,Customer Success,Alto,20/04/2024,20/04/2024,+55 (11) 3000-3724,+55 (11) 98832-8956,lucas.lima@gmail.com,http://linkedin.com/in/lucaslima,@lucaslima,"Rua Tangará, 132",Whatsapp,Analista,Jurídico,Operações,Operações,Coordenador,276777762,321.654.987-91,Viúvo,Economista,45,Não Binário,23/02/1980,Coach,Campeão,Signatário,Time Financeiro
9490,,Marcos Silva,Luiza Aduan,Customer Success,Baixo,21/04/2024,21/04/2024,+55 (11) 3000-1998,+55 (11) 99531-6138,marcos.silva@gmail.com,http://linkedin.com/in/marcossilva,@marcossilva,"Rua Tangará, 132",E-mail,Gerente,Financeiro,Executivo,Executivo,Head,639931481,654.321.789-82,Separado,Engenheiro,29,Masculino,24/02/1980,Tomador de Decisão,Usuário,Signatário,Time Financeiro
4034,,Gabriel Gomes,Rafael Giacomini,Onboarding,Baixo,22/04/2024,22/04/2024,+55 (11) 3000-1651,+55 (11) 99268-2343,gabriel.gomes@gmail.com,http://linkedin.com/in/gabrielgomes,@gabrielgomes,"Rua Tangará, 132",Whatsapp,C-Level,Financeiro,Planejamento,Planejamento,CEO,379995032,159.357.486-06,Solteiro,Economista,43,Masculino,25/02/1980,Bloqueador,Admin,Testemunha,Responsável pelo Financeiro
9225,,João Pereira,Luiza Aduan,Vendas,Alto,23/04/2024,23/04/2024,+55 (11) 3000-9808,+55 (11) 98436-9288,joão.pereira@gmail.com,http://linkedin.com/in/joãopereira,@joãopereira,"Rua Tangará, 132",Telefone,Coordenador,Vendas,Operações,Operações,Gerente,362298393,246.810.121-90,Separado,Economista,57,Não Binário,26/02/1980,Tomador de Decisão,Usuário,Testemunha,Time Financeiro
4334,,Gabriel Oliveira,Rafael Giacomini,Onboarding,Alto,24/04/2024,24/04/2024,+55 (11) 3000-3546,+55 (11) 98557-5616,gabriel.oliveira@gmail.com,http://linkedin.com/in/gabrieloliveira,@gabrieloliveira,"Rua Tangará, 132",Telefone,Analista,Marketing,Planejamento,Planejamento,Coordenador,642678844,357.951.486-52,Casado,Administrador,35,Masculino,27/02/1980,Tomador de Decisão,Admin,Signatário,Sem Função de Faturamento
7240,,Carlos Oliveira,Alexandre Bazzi,Vendas,Baixo,25/04/2024,25/04/2024,+55 (11) 3000-8007,+55 (11) 99148-1158,carlos.oliveira@gmail.com,http://linkedin.com/in/carlosoliveira,@carlosoliveira,"Rua Tangará, 132",E-mail,Coordenador,Marketing,Operações,Operações,Gerente,996139578,123.456.789-09,Viúvo,Empreendedor,20,Feminino,28/02/1980,Coach,Campeão,Testemunha,Responsável pelo Financeiro
5795,,Bruno Santos,Alexandre Bazzi,Vendas,Médio,26/04/2024,26/04/2024,+55 (11) 3000-3532,+55 (11) 99895-4878,bruno.santos@gmail.com,http://linkedin.com/in/brunosantos,@brunosantos,"Rua Tangará, 132",Telefone,CEO,Gestão,Executivo,Executivo,,292587044,987.654.321-00,Solteiro,Economista,28,Não Binário,29/02/1980,Tomador de Decisão,Admin,Signatário,Time Financeiro
7542,,Bruno Souza,Luiza Aduan,Customer Success,Médio,27/04/2024,27/04/2024,+55 (11) 3000-4728,+55 (11) 98456-1387,bruno.souza@gmail.com,http://linkedin.com/in/brunosouza,@brunosouza,"Rua Tangará, 132",Telefone,Diretor,Vendas,Planejamento,Planejamento,C-Level,174539964,456.789.123-64,Separado,Administrador,52,Feminino,01/03/1980,Tomador de Decisão,Campeão,Testemunha,Responsável pelo Financeiro
627,,Patrícia Rodrigues,Luiza Aduan,Customer Success,Baixo,28/04/2024,28/04/2024,+55 (11) 3000-8119,+55 (11) 98707-6139,patrícia.rodrigues@gmail.com,http://linkedin.com/in/patríciarodrigues,@patríciarodrigues,"Rua Tangará, 132",Whatsapp,Head,Financeiro,Operações,Operações,Diretor,513600440,321.654.987-91,Viúvo,Engenheiro,51,Não Binário,02/03/1980,Influenciador,Admin,Testemunha,Responsável pelo Financeiro
5144,,Maria Gomes,Rafael Giacomini,Onboarding,Alto,29/04/2024,29/04/2024,+55 (11) 3000-5920,+55 (11) 99038-6067,maria.gomes@gmail.com,http://linkedin.com/in/mariagomes,@mariagomes,"Rua Tangará, 132",Whatsapp,Gerente,Jurídico,Planejamento,Planejamento,Head,695295870,654.321.789-82,Viúvo,Empreendedor,57,Não Binário,03/03/1980,Bloqueador,Admin,Testemunha,Responsável pelo Financeiro
3444,,Rafael Rodrigues,Rafael Giacomini,Onboarding,Baixo,30/04/2024,30/04/2024,+55 (11) 3000-6279,+55 (11) 98952-8238,rafael.rodrigues@gmail.com,http://linkedin.com/in/rafaelrodrigues,@rafaelrodrigues,"Rua Tangará, 132",Whatsapp,Gerente,Financeiro,Executivo,Executivo,Head,952266893,159.357.486-06,Casado,Economista,50,Não Binário,04/03/1980,Campeão,Campeão,Signatário,Sem Função de Faturamento
3263,,Rafael Souza,Alexandre Bazzi,Vendas,Alto,01/05/2024,01/05/2024,+55 (11) 3000-1757,+55 (11) 98501-8784,rafael.souza@gmail.com,http://linkedin.com/in/rafaelsouza,@rafaelsouza,"Rua Tangará, 132",E-mail,Gerente,Jurídico,Desenvolvimento,Desenvolvimento,Head,871318048,246.810.121-90,Solteiro,Empreendedor,59,Não Binário,05/03/1980,Tomador de Decisão,Campeão,Testemunha,Responsável pelo Financeiro
7612,,Luiz Lima,Luiza Aduan,Customer Success,Baixo,02/05/2024,02/05/2024,+55 (11) 3000-5082,+55 (11) 99878-2988,luiz.lima@gmail.com,http://linkedin.com/in/luizlima,@luizlima,"Rua Tangará, 132",Whatsapp,C-Level,Jurídico,Planejamento,Planejamento,CEO,910943524,357.951.486-52,Viúvo,Gerente,46,Masculino,06/03/1980,Bloqueador,Admin,Testemunha,Responsável pelo Financeiro
7940,,Carlos Lima,Luiza Aduan,Customer Success,Alto,03/05/2024,03/05/2024,+55 (11) 3000-5499,+55 (11) 98900-2269,carlos.lima@gmail.com,http://linkedin.com/in/carloslima,@carloslima,"Rua Tangará, 132",Telefone,Coordenador,Vendas,Planejamento,Planejamento,Gerente,443285529,123.456.789-09,Solteiro,Administrador,27,Não Binário,07/03/1980,Influenciador,Campeão,Testemunha,Time Financeiro
7634,,Maria Lima,Rafael Giacomini,Onboarding,Alto,04/05/2024,04/05/2024,+55 (11) 3000-4388,+55 (11) 99705-7883,maria.lima@gmail.com,http://linkedin.com/in/marialima,@marialima,"Rua Tangará, 132",Whatsapp,Analista,Tecnologia,Executivo,Executivo,Coordenador,612153089,987.654.321-00,Viúvo,Gerente,52,Não Binário,08/03/1980,Influenciador,Admin,Signatário,Time Financeiro
476,,Antônia Pereira,Alexandre Bazzi,Vendas,Médio,05/05/2024,05/05/2024,+55 (11) 3000-7624,+55 (11) 99483-3704,antônia.pereira@gmail.com,http://linkedin.com/in/antôniapereira,@antôniapereira,"Rua Tangará, 132",Whatsapp,Gerente,Financeiro,Operações,Operações,Head,523076025,456.789.123-64,Casado,Administrador,26,Feminino,09/03/1980,Influenciador,Campeão,Testemunha,Time Financeiro
7450,,Maria Souza,Luiza Aduan,Customer Success,Médio,06/05/2024,06/05/2024,+55 (11) 3000-7211,+55 (11) 98569-7906,maria.souza@gmail.com,http://linkedin.com/in/mariasouza,@mariasouza,"Rua Tangará, 132",Telefone,C-Level,Jurídico,Operações,Operações,CEO,904258674,321.654.987-91,Casado,Engenheiro,19,Masculino,10/03/1980,Influenciador,Campeão,Testemunha,Responsável pelo Financeiro
7759,,Bruno Oliveira,Alexandre Bazzi,Vendas,Alto,07/05/2024,07/05/2024,+55 (11) 3000-4571,+55 (11) 98952-5198,bruno.oliveira@gmail.com,http://linkedin.com/in/brunooliveira,@brunooliveira,"Rua Tangará, 132",Telefone,Gerente,Financeiro,Operações,Operações,Head,935147672,654.321.789-82,Separado,Engenheiro,37,Não Binário,11/03/1980,Bloqueador,Admin,Testemunha,Responsável pelo Financeiro
3979,,Pedro Gomes,Alexandre Bazzi,Vendas,Baixo,08/05/2024,08/05/2024,+55 (11) 3000-5941,+55 (11) 99741-2983,pedro.gomes@gmail.com,http://linkedin.com/in/pedrogomes,@pedrogomes,"Rua Tangará, 132",E-mail,C-Level,Financeiro,Executivo,Executivo,CEO,810303128,159.357.486-06,Divorciado,Engenheiro,44,Feminino,12/03/1980,Tomador de Decisão,Admin,Testemunha,Sem Função de Faturamento
7136,,Adriana Oliveira,Luiza Aduan,Customer Success,Baixo,09/05/2024,09/05/2024,+55 (11) 3000-9548,+55 (11) 99977-5425,adriana.oliveira@gmail.com,http://linkedin.com/in/adrianaoliveira,@adrianaoliveira,"Rua Tangará, 132",Whatsapp,Coordenador,Jurídico,Planejamento,Planejamento,Gerente,446071904,246.810.121-90,Divorciado,Administrador,33,Feminino,13/03/1980,Bloqueador,Admin,Signatário,Time Financeiro
7989,,Maria Oliveira,Luiza Aduan,Customer Success,Médio,10/05/2024,10/05/2024,+55 (11) 3000-5232,+55 (11) 98697-5581,maria.oliveira@gmail.com,http://linkedin.com/in/mariaoliveira,@mariaoliveira,"Rua Tangará, 132",Telefone,Gerente,Tecnologia,Desenvolvimento,Desenvolvimento,Head,191926217,357.951.486-52,Separado,Empreendedor,35,Não Binário,14/03/1980,Coach,Admin,Signatário,Responsável pelo Financeiro
6626,,Rafael Souza,Rafael Giacomini,Onboarding,Alto,11/05/2024,11/05/2024,+55 (11) 3000-6016,+55 (11) 99359-7046,rafael.souza@gmail.com,http://linkedin.com/in/rafaelsouza,@rafaelsouza,"Rua Tangará, 132",Whatsapp,C-Level,Financeiro,Planejamento,Planejamento,CEO,556881239,123.456.789-09,Viúvo,Economista,37,Feminino,15/03/1980,Influenciador,Campeão,Testemunha,Responsável pelo Financeiro
8780,,Maria Santos,Rafael Giacomini,Onboarding,Alto,12/05/2024,12/05/2024,+55 (11) 3000-4138,+55 (11) 98443-8933,maria.santos@gmail.com,http://linkedin.com/in/mariasantos,@mariasantos,"Rua Tangará, 132",Telefone,Coordenador,Financeiro,Planejamento,Planejamento,Gerente,207939087,987.654.321-00,Divorciado,Empreendedor,37,Masculino,16/03/1980,Influenciador,Admin,Signatário,Responsável pelo Financeiro
2069,,Fernanda Rodrigues,Alexandre Bazzi,Vendas,Médio,13/05/2024,13/05/2024,+55 (11) 3000-2680,+55 (11) 99787-1200,fernanda.rodrigues@gmail.com,http://linkedin.com/in/fernandarodrigues,@fernandarodrigues,"Rua Tangará, 132",Telefone,Analista,Jurídico,Executivo,Executivo,Coordenador,465830215,456.789.123-64,Casado,Engenheiro,43,Feminino,17/03/1980,Tomador de Decisão,Usuário,Testemunha,Sem Função de Faturamento
2445,,Lucas Oliveira,Luiza Aduan,Customer Success,Médio,14/05/2024,14/05/2024,+55 (11) 3000-2395,+55 (11) 98508-2940,lucas.oliveira@gmail.com,http://linkedin.com/in/lucasoliveira,@lucasoliveira,"Rua Tangará, 132",Whatsapp,Gerente,Financeiro,Desenvolvimento,Desenvolvimento,Head,932894596,321.654.987-91,Divorciado,Gerente,45,Feminino,18/03/1980,Tomador de Decisão,Tomador de Decisão,Testemunha,Responsável pelo Financeiro
4336,,Marcos Souza,Luiza Aduan,Customer Success,Alto,15/05/2024,15/05/2024,+55 (11) 3000-3573,+55 (11) 98491-3847,marcos.souza@gmail.com,http://linkedin.com/in/marcossouza,@marcossouza,"Rua Tangará, 132",E-mail,C-Level,Tecnologia,Executivo,Executivo,CEO,583724666,654.321.789-82,Casado,Empreendedor,36,Não Binário,19/03/1980,Coach,Usuário,Testemunha,Responsável pelo Financeiro
9664,,Bruno Rodrigues,Rafael Giacomini,Onboarding,Alto,16/05/2024,16/05/2024,+55 (11) 3000-7965,+55 (11) 98235-9922,bruno.rodrigues@gmail.com,http://linkedin.com/in/brunorodrigues,@brunorodrigues,"Rua Tangará, 132",Telefone,Coordenador,Vendas,Desenvolvimento,Desenvolvimento,Gerente,176675731,159.357.486-06,Separado,Gerente,35,Feminino,20/03/1980,Tomador de Decisão,Admin,Testemunha,Time Financeiro
8200,,Francisca Rodrigues,Alexandre Bazzi,Vendas,Médio,17/05/2024,17/05/2024,+55 (11) 3000-8172,+55 (11) 98164-1653,francisca.rodrigues@gmail.com,http://linkedin.com/in/franciscarodrigues,@franciscarodrigues,"Rua Tangará, 132",Whatsapp,Analista,Financeiro,Planejamento,Planejamento,Coordenador,127772220,246.810.121-90,Separado,Engenheiro,354,Não Binário,21/03/1980,Tomador de Decisão,Campeão,Testemunha,Sem Função de Faturamento
2974,,Adriana Rodrigues,Luiza Aduan,Customer Success,Médio,18/05/2024,18/05/2024,+55 (11) 3000-9056,+55 (11) 99984-2494,adriana.rodrigues@gmail.com,http://linkedin.com/in/adrianarodrigues,@adrianarodrigues,"Rua Tangará, 132",Whatsapp,Coordenador,Jurídico,Planejamento,Planejamento,Gerente,444733679,357.951.486-52,Divorciado,Administrador,49,Feminino,22/03/1980,Coach,Tomador de Decisão,Signatário,Time Financeiro
4136,,Pedro Ferreira,Luiza Aduan,Customer Success,Alto,19/05/2024,19/05/2024,+55 (11) 3000-7622,+55 (11) 99771-9431,pedro.ferreira@gmail.com,http://linkedin.com/in/pedroferreira,@pedroferreira,"Rua Tangará, 132",E-mail,Gerente,Jurídico,Executivo,Executivo,Head,158201193,123.456.789-09,Viúvo,Administrador,21,Masculino,23/03/1980,Coach,Usuário,Signatário,Time Financeiro
1990,,Adriana Pereira,Alexandre Bazzi,Vendas,Baixo,20/05/2024,20/05/2024,+55 (11) 3000-4920,+55 (11) 99453-3594,adriana.pereira@gmail.com,http://linkedin.com/in/adrianapereira,@adrianapereira,"Rua Tangará, 132",Telefone,C-Level,Tecnologia,Executivo,Executivo,CEO,200082623,987.654.321-00,Casado,Empreendedor,49,Não Binário,24/03/1980,Coach,Tomador de Decisão,Testemunha,Time Financeiro
7737,,Antônia Pereira,Alexandre Bazzi,Vendas,Médio,21/05/2024,21/05/2024,+55 (11) 3000-3369,+55 (11) 98785-4122,antônia.pereira@gmail.com,http://linkedin.com/in/antôniapereira,@antôniapereira,"Rua Tangará, 132",Telefone,Gerente,Vendas,Executivo,Executivo,Head,464938258,456.789.123-64,Divorciado,Economista,55,Não Binário,25/03/1980,Bloqueador,Campeão,Testemunha,Sem Função de Faturamento
5447,,Juliana Ferreira,Luiza Aduan,Customer Success,Baixo,22/05/2024,22/05/2024,+55 (11) 3000-7180,+55 (11) 98932-6272,juliana.ferreira@gmail.com,http://linkedin.com/in/julianaferreira,@julianaferreira,"Rua Tangará, 132",Telefone,C-Level,Financeiro,Executivo,Executivo,CEO,350785761,321.654.987-91,Divorciado,Administrador,42,Feminino,26/03/1980,Influenciador,Admin,Signatário,Responsável pelo Financeiro
5440,,Márcia Gomes,Luiza Aduan,Customer Success,Médio,23/05/2024,23/05/2024,+55 (11) 3000-2633,+55 (11) 99077-8486,márcia.gomes@gmail.com,http://linkedin.com/in/márciagomes,@márciagomes,"Rua Tangará, 132",E-mail,Gerente,Jurídico,Desenvolvimento,Desenvolvimento,Head,180346223,654.321.789-82,Separado,Administrador,59,Masculino,27/03/1980,Bloqueador,Tomador de Decisão,Testemunha,Time Financeiro
8865,,Maria Pereira,Rafael Giacomini,Onboarding,Baixo,24/05/2024,24/05/2024,+55 (11) 3000-2121,+55 (11) 98480-5708,maria.pereira@gmail.com,http://linkedin.com/in/mariapereira,@mariapereira,"Rua Tangará, 132",Telefone,C-Level,Jurídico,Operações,Operações,CEO,916440738,159.357.486-06,Viúvo,Empreendedor,37,Masculino,28/03/1980,Tomador de Decisão,Admin,Signatário,Time Financeiro
7057,,Ana Ferreira,Rafael Giacomini,Onboarding,Alto,25/05/2024,25/05/2024,+55 (11) 3000-9702,+55 (11) 98843-3950,ana.ferreira@gmail.com,http://linkedin.com/in/anaferreira,@anaferreira,"Rua Tangará, 132",Telefone,Gerente,Tecnologia,Executivo,Executivo,Head,765408938,246.810.121-90,Solteiro,Empreendedor,47,Não Binário,29/03/1980,Bloqueador,Admin,Testemunha,Sem Função de Faturamento
4713,,João Pereira,Alexandre Bazzi,Vendas,Baixo,26/05/2024,26/05/2024,+55 (11) 3000-3588,+55 (11) 98151-8237,joão.pereira@gmail.com,http://linkedin.com/in/joãopereira,@joãopereira,"Rua Tangará, 132",Telefone,C-Level,Vendas,Executivo,Executivo,CEO,841218491,357.951.486-52,Solteiro,Administrador,48,Masculino,30/03/1980,Influenciador,Admin,Testemunha,Time Financeiro
4838,,Patrícia Rodrigues,Luiza Aduan,Customer Success,Baixo,27/05/2024,27/05/2024,+55 (11) 3000-7484,+55 (11) 98562-1132,patrícia.rodrigues@gmail.com,http://linkedin.com/in/patríciarodrigues,@patríciarodrigues,"Rua Tangará, 132",E-mail,Gerente,Jurídico,Planejamento,Planejamento,Head,932945529,123.456.789-09,Solteiro,Empreendedor,57,Feminino,31/03/1980,Influenciador,Tomador de Decisão,Signatário,Sem Função de Faturamento
7223,,Lucas Rodrigues,Luiza Aduan,Customer Success,Baixo,28/05/2024,28/05/2024,+55 (11) 3000-6977,+55 (11) 99499-3153,lucas.rodrigues@gmail.com,http://linkedin.com/in/lucasrodrigues,@lucasrodrigues,"Rua Tangará, 132",E-mail,Gerente,Vendas,Executivo,Executivo,Head,288592093,987.654.321-00,Divorciado,Gerente,50,Feminino,01/04/1980,Influenciador,Admin,Testemunha,Time Financeiro
7674,,Maria Santos,Rafael Giacomini,Onboarding,Alto,29/05/2024,29/05/2024,+55 (11) 3000-4696,+55 (11) 99761-7511,maria.santos@gmail.com,http://linkedin.com/in/mariasantos,@mariasantos,"Rua Tangará, 132",Telefone,Gerente,Jurídico,Operações,Operações,Head,383960237,456.789.123-64,Divorciado,Gerente,42,Não Binário,02/04/1980,Bloqueador,Campeão,Testemunha,Responsável pelo Financeiro
9199,,Juliana Silva,Alexandre Bazzi,Vendas,Baixo,30/05/2024,30/05/2024,+55 (11) 3000-4626,+55 (11) 99326-2035,juliana.silva@gmail.com,http://linkedin.com/in/julianasilva,@julianasilva,"Rua Tangará, 132",Whatsapp,C-Level,Jurídico,Operações,Operações,CEO,250084428,321.654.987-91,Casado,Engenheiro,33,Não Binário,03/04/1980,Influenciador,Admin,Testemunha,Time Financeiro
9623,,Fernanda Alves,Luiza Aduan,Customer Success,Baixo,31/05/2024,31/05/2024,+55 (11) 3000-3531,+55 (11) 99813-7797,fernanda.alves@gmail.com,http://linkedin.com/in/fernandaalves,@fernandaalves,"Rua Tangará, 132",E-mail,Coordenador,Financeiro,Executivo,Executivo,Gerente,400368694,654.321.789-82,Viúvo,Administrador,33,Feminino,04/04/1980,Tomador de Decisão,Tomador de Decisão,Testemunha,Sem Função de Faturamento
6524,,Ana Silva,Luiza Aduan,Customer Success,Alto,01/06/2024,01/06/2024,+55 (11) 3000-3001,+55 (11) 99943-8450,ana.silva@gmail.com,http://linkedin.com/in/anasilva,@anasilva,"Rua Tangará, 132",E-mail,Analista,Financeiro,Operações,Operações,Coordenador,154308262,159.357.486-06,Separado,Empreendedor,22,Não Binário,05/04/1980,Influenciador,Usuário,Signatário,Responsável pelo Financeiro
9765,,Maria Oliveira,Rafael Giacomini,Onboarding,Médio,02/06/2024,02/06/2024,+55 (11) 3000-3370,+55 (11) 98266-9850,maria.oliveira@gmail.com,http://linkedin.com/in/mariaoliveira,@mariaoliveira,"Rua Tangará, 132",Telefone,Coordenador,Tecnologia,Operações,Operações,Gerente,241522640,246.810.121-90,Separado,Economista,19,Masculino,06/04/1980,Bloqueador,Campeão,Signatário,Sem Função de Faturamento
1863,,Antônia Lima,Luiza Aduan,Vendas,Alto,03/06/2024,03/06/2024,+55 (11) 3000-8802,+55 (11) 98918-6931,antônia.lima@gmail.com,http://linkedin.com/in/antônialima,@antônialima,"Rua Tangará, 132",E-mail,Gerente,Financeiro,Desenvolvimento,Desenvolvimento,Head,760465943,357.951.486-52,Separado,Economista,47,Não Binário,07/04/1980,Tomador de Decisão,Campeão,Testemunha,Time Financeiro
8033,,Antônia Santos,Rafael Giacomini,Onboarding,Médio,04/06/2024,04/06/2024,+55 (11) 3000-2204,+55 (11) 99841-2323,antônia.santos@gmail.com,http://linkedin.com/in/antôniasantos,@antôniasantos,"Rua Tangará, 132",Telefone,C-Level,Marketing,Operações,Operações,CEO,235497187,123.456.789-09,Separado,Economista,42,Não Binário,08/04/1980,Bloqueador,Admin,Testemunha,Sem Função de Faturamento
1875,,Antônia Santos,Alexandre Bazzi,Vendas,Baixo,05/06/2024,05/06/2024,+55 (11) 3000-4522,+55 (11) 98880-8398,antônia.santos@gmail.com,http://linkedin.com/in/antôniasantos,@antôniasantos,"Rua Tangará, 132",Telefone,Coordenador,Vendas,Executivo,Executivo,Gerente,528133274,987.654.321-00,Viúvo,Economista,60,Feminino,09/04/1980,Bloqueador,Campeão,Testemunha,Time Financeiro
1399,,Pedro Santos,Alexandre Bazzi,Vendas,Médio,06/06/2024,06/06/2024,+55 (11) 3000-2582,+55 (11) 99524-7105,pedro.santos@gmail.com,http://linkedin.com/in/pedrosantos,@pedrosantos,"Rua Tangará, 132",Telefone,Analista,Tecnologia,Planejamento,Planejamento,Coordenador,819421270,456.789.123-64,Viúvo,Engenheiro,36,Não Binário,09/04/1990,Bloqueador,Admin,Signatário,Sem Função de Faturamento
2536,,Márcia Souza,Luiza Aduan,Customer Success,Médio,07/06/2024,07/06/2024,+55 (11) 3000-4674,+55 (11) 99735-2773,márcia.souza@gmail.com,http://linkedin.com/in/márciasouza,@márciasouza,"Rua Tangará, 132",Telefone,Coordenador,Vendas,Operações,Operações,Gerente,918841563,321.654.987-91,Separado,Gerente,57,Não Binário,10/04/1990,Tomador de Decisão,Usuário,Testemunha,Sem Função de Faturamento
