ID da Pessoa,Categoria de Stakeholder,Nome Completo,Usuário Proprietário da Pessoa,Nível de Relacionamento,Data de Criação,Celular,E-mail,Linkedin,Instagram
5440,Cliente,Márcia Gomes,Luiza Aduan,Médio,09/04/2024,+55 (11) 99077-8486,márcia.gomes@gmail.com,http://linkedin.com/in/márciagomes,@márciagomes
8865,Cliente,Maria Pereira,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 98480-5708,maria.pereira@gmail.com,http://linkedin.com/in/mariapereira,@mariapereira
7057,Cliente,Ana Ferreira,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98843-3950,ana.ferreira@gmail.com,http://linkedin.com/in/anaferreira,@anaferreira
4713,Parceiro,João Pereira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 98151-8237,joão.pereira@gmail.com,http://linkedin.com/in/joãopereira,@joãopereira
4838,Cliente,Patrícia Rodrigues,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98562-1132,patrícia.rodrigues@gmail.com,http://linkedin.com/in/patríciarodrigues,@patríciarodrigues
7223,Cliente,Lucas Rodrigues,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99499-3153,lucas.rodrigues@gmail.com,http://linkedin.com/in/lucasrodrigues,@lucasrodrigues
7674,Cliente,Maria Santos,Rafael Giacomini,Alto,09/04/2024,+55 (11) 99761-7511,maria.santos@gmail.com,http://linkedin.com/in/mariasantos,@mariasantos
9199,Fornecedor,Juliana Silva,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99326-2035,juliana.silva@gmail.com,http://linkedin.com/in/julianasilva,@julianasilva
9623,Parceiro,Fernanda Alves,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99813-7797,fernanda.alves@gmail.com,http://linkedin.com/in/fernandaalves,@fernandaalves
6524,Fornecedor,Ana Silva,Luiza Aduan,Alto,09/04/2024,+55 (11) 99943-8450,ana.silva@gmail.com,http://linkedin.com/in/anasilva,@anasilva
9765,Cliente,Maria Oliveira,Rafael Giacomini,Médio,09/04/2024,+55 (11) 98266-9850,maria.oliveira@gmail.com,http://linkedin.com/in/mariaoliveira,@mariaoliveira
1863,Parceiro,Antônia Lima,Luiza Aduan,Alto,09/04/2024,+55 (11) 98918-6931,antônia.lima@gmail.com,http://linkedin.com/in/antônialima,@antônialima
8033,Parceiro,Antônia Santos,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99841-2323,antônia.santos@gmail.com,http://linkedin.com/in/antôniasantos,@antôniasantos
1875,Parceiro,Antônia Santos,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 98880-8398,antônia.santos@gmail.com,http://linkedin.com/in/antôniasantos,@antôniasantos
1399,Cliente,Pedro Santos,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99524-7105,pedro.santos@gmail.com,http://linkedin.com/in/pedrosantos,@pedrosantos
2536,Parceiro,Márcia Souza,Luiza Aduan,Médio,09/04/2024,+55 (11) 99735-2773,márcia.souza@gmail.com,http://linkedin.com/in/márciasouza,@márciasouza
2956,Fornecedor,Carlos Silva,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99887-6567,carlos.silva@gmail.com,http://linkedin.com/in/carlossilva,@carlossilva
5106,Parceiro,Luiz Ferreira,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99809-1861,luiz.ferreira@gmail.com,http://linkedin.com/in/luizferreira,@luizferreira
7044,Cliente,Gabriel Ferreira,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99079-6053,gabriel.ferreira@gmail.com,http://linkedin.com/in/gabrielferreira,@gabrielferreira
6230,Parceiro,Luiz Oliveira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99024-6802,luiz.oliveira@gmail.com,http://linkedin.com/in/luizoliveira,@luizoliveira
2816,Parceiro,João Ferreira,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 98180-8155,joão.ferreira@gmail.com,http://linkedin.com/in/joãoferreira,@joãoferreira
3177,Fornecedor,Márcia Lima,Luiza Aduan,Médio,09/04/2024,+55 (11) 98483-2684,márcia.lima@gmail.com,http://linkedin.com/in/márcialima,@márcialima
5296,Parceiro,Patrícia Gomes,Luiza Aduan,Médio,09/04/2024,+55 (11) 98900-2118,patrícia.gomes@gmail.com,http://linkedin.com/in/patríciagomes,@patríciagomes
9734,Parceiro,Pedro Gomes,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99188-1672,pedro.gomes@gmail.com,http://linkedin.com/in/pedrogomes,@pedrogomes
7173,Fornecedor,Lucas Souza,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 99248-3600,lucas.souza@gmail.com,http://linkedin.com/in/lucassouza,@lucassouza
9875,Cliente,Rafael Rodrigues,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99193-3317,rafael.rodrigues@gmail.com,http://linkedin.com/in/rafaelrodrigues,@rafaelrodrigues
299,Fornecedor,Márcia Ferreira,Luiza Aduan,Médio,09/04/2024,+55 (11) 99947-4509,márcia.ferreira@gmail.com,http://linkedin.com/in/márciaferreira,@márciaferreira
2659,Cliente,Francisca Oliveira,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99476-8170,francisca.oliveira@gmail.com,http://linkedin.com/in/franciscaoliveira,@franciscaoliveira
7565,Fornecedor,Patrícia Pereira,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99080-7859,patrícia.pereira@gmail.com,http://linkedin.com/in/patríciapereira,@patríciapereira
2415,Fornecedor,Adriana Lima,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 99672-8391,adriana.lima@gmail.com,http://linkedin.com/in/adrianalima,@adrianalima
2255,Cliente,Maria Oliveira,Luiza Aduan,Médio,09/04/2024,+55 (11) 99425-3273,maria.oliveira@gmail.com,http://linkedin.com/in/mariaoliveira,@mariaoliveira
3907,Fornecedor,Gabriel Silva,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98128-2816,gabriel.silva@gmail.com,http://linkedin.com/in/gabrielsilva,@gabrielsilva
8577,Fornecedor,Luiz Santos,Rafael Giacomini,Alto,09/04/2024,+55 (11) 99114-9312,luiz.santos@gmail.com,http://linkedin.com/in/luizsantos,@luizsantos
5773,Parceiro,Matheus Silva,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99700-8612,matheus.silva@gmail.com,http://linkedin.com/in/matheussilva,@matheussilva
4151,Cliente,Fernanda Pereira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 98585-6848,fernanda.pereira@gmail.com,http://linkedin.com/in/fernandapereira,@fernandapereira
1294,Fornecedor,Pedro Alves,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99117-5813,pedro.alves@gmail.com,http://linkedin.com/in/pedroalves,@pedroalves
4499,Parceiro,Aline Alves,Luiza Aduan,Alto,09/04/2024,+55 (11) 99374-7655,aline.alves@gmail.com,http://linkedin.com/in/alinealves,@alinealves
2514,Parceiro,Lucas Gomes,Rafael Giacomini,Médio,09/04/2024,+55 (11) 98761-8273,lucas.gomes@gmail.com,http://linkedin.com/in/lucasgomes,@lucasgomes
3516,Colaborador,Carlos Pereira,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 98409-3009,carlos.pereira@gmail.com,http://linkedin.com/in/carlospereira,@carlospereira
8336,Cliente,Luiz Ferreira,Luiza Aduan,Alto,09/04/2024,+55 (11) 99622-3275,luiz.ferreira@gmail.com,http://linkedin.com/in/luizferreira,@luizferreira
6731,Fornecedor,Juliana Lima,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98256-6194,juliana.lima@gmail.com,http://linkedin.com/in/julianalima,@julianalima
2654,Fornecedor,Rafael Oliveira,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 98708-9501,rafael.oliveira@gmail.com,http://linkedin.com/in/rafaeloliveira,@rafaeloliveira
9915,Fornecedor,Luiz Gomes,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99690-1464,luiz.gomes@gmail.com,http://linkedin.com/in/luizgomes,@luizgomes
4874,Fornecedor,Bruno Alves,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98323-8202,bruno.alves@gmail.com,http://linkedin.com/in/brunoalves,@brunoalves
7367,Cliente,Gabriel Rodrigues,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98103-5754,gabriel.rodrigues@gmail.com,http://linkedin.com/in/gabrielrodrigues,@gabrielrodrigues
6443,Parceiro,João Santos,Luiza Aduan,Médio,09/04/2024,+55 (11) 98440-6781,joão.santos@gmail.com,http://linkedin.com/in/joãosantos,@joãosantos
5996,Acionista,Ana Alves,Luiza Aduan,Médio,09/04/2024,+55 (11) 99167-4189,ana.alves@gmail.com,http://linkedin.com/in/anaalves,@anaalves
5991,Acionista,Maria Lima,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98822-9193,maria.lima@gmail.com,http://linkedin.com/in/marialima,@marialima
4903,Parceiro,Luiz Alves,Rafael Giacomini,Médio,09/04/2024,+55 (11) 99696-9351,luiz.alves@gmail.com,http://linkedin.com/in/luizalves,@luizalves
3729,Parceiro,Patrícia Gomes,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98349-9589,patrícia.gomes@gmail.com,http://linkedin.com/in/patríciagomes,@patríciagomes
7727,Parceiro,Márcia Gomes,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99445-3262,márcia.gomes@gmail.com,http://linkedin.com/in/márciagomes,@márciagomes
9144,Outros,Bruno Rodrigues,Luiza Aduan,Alto,09/04/2024,+55 (11) 99579-5735,bruno.rodrigues@gmail.com,http://linkedin.com/in/brunorodrigues,@brunorodrigues
4713,Parceiro,Rafael Silva,Luiza Aduan,Alto,09/04/2024,+55 (11) 99892-8247,rafael.silva@gmail.com,http://linkedin.com/in/rafaelsilva,@rafaelsilva
3815,Cliente,Márcia Souza,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98676-8739,márcia.souza@gmail.com,http://linkedin.com/in/márciasouza,@márciasouza
612,Cliente,Bruno Lima,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99912-1595,bruno.lima@gmail.com,http://linkedin.com/in/brunolima,@brunolima
1846,Fornecedor,Carlos Souza,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 99327-5215,carlos.souza@gmail.com,http://linkedin.com/in/carlossouza,@carlossouza
